"sku","name","nb_produits_commandes","nb_produits_factures","nb_produits_rembourses","nb_produits_annules","nb_produits_envoyes","num_commande","date"
"1464406","SMOOZ-Sofa bleu 60x50x20cm l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000030993","2018-06-16 09:19:51"
"1464406","SMOOZ-Sofa bleu 60x50x20cm l Prix exclusivité Web","1.0000","0.0000","0.0000","1.0000","0.0000","000031025","2018-06-16 21:15:21"
"1464406","SMOOZ-Sofa bleu 60x50x20cm l Prix exclusivité Web","2.0000","0.0000","0.0000","2.0000","0.0000","000031060","2018-06-17 19:20:15"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000031070","2018-06-18 07:14:55"
"1398216","Chaise pivoine l Prix exclusivité Web","8.0000","8.0000","0.0000","0.0000","8.0000","000031076","2018-06-18 09:01:45"
"1296473","Chaise métal avec coussin l Prix exclusivité Web","6.0000","0.0000","0.0000","6.0000","0.0000","000031077","2018-06-18 09:35:26"
"1296473","Chaise métal avec coussin l Prix exclusivité Web","6.0000","6.0000","0.0000","0.0000","6.0000","000031078","2018-06-18 09:38:52"
"1432366","Toile coton pour siège papillon l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000031082","2018-06-18 10:27:34"
"1296473","Chaise métal avec coussin l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000031116","2018-06-19 05:51:53"
"1509741","SMOOZ-Master wellington 100x70cm l Prix exclusivité Web","1.0000","0.0000","0.0000","1.0000","0.0000","000031175","2018-06-20 07:54:54"
"1432366","Toile coton pour siège papillon l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000031209","2018-06-20 23:34:40"
"1509741","SMOOZ-Master wellington 100x70cm l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000031240","2018-06-21 18:02:51"
"1464430","SMOOZ-Boite a croquette chat rouge 2,7l l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000031246","2018-06-21 23:11:05"
"1476109","SMOOZ-Coussin ouatine pop 55cm l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000031246","2018-06-21 23:11:05"
