attribute_code;options_code;label_marketing;info
1002_COU;1002_COU_1142;bois blanchi;
1002_COU;1002_COU_1143;bois vieilli grise;
1002_COU;1002_COU_1144;d. bois tisse anthracite;
1002_COU;1002_COU_1145;decor bois;
1002_COU;1002_COU_1146;d. bois vieilli grise;
1002_COU;1002_COU_1147;d. bois vieilli blanchi;
1002_COU;1002_COU_1148;gris galet;
1002_COU;1002_COU_1149;vert absinthe;
1002_COU;1002_COU_1150;rayures gelato;
1002_COU;1002_COU_1151;birch;
1002_COU;1002_COU_1152;panacotta;
1002_COU;1002_COU_1153;new acier;
1002_COU;1002_COU_1154;mimosa;
1002_COU;1002_COU_1155;bleu arctic;
1002_COU;1002_COU_1156;mure cassis;
1002_COU;1002_COU_1157;choco/taupe;
1002_COU;1002_COU_1158;grege/taupe;
1002_COU;1002_COU_1159;blanc/taupe;
1002_COU;1002_COU_1160;gris/ gris souris;
1002_COU;1002_COU_1161;choco/cendre;
1002_COU;1002_COU_1162;argent/cendre;
1002_COU;1002_COU_1163;argent/taupe;
1002_COU;1002_COU_1164;gris/taupe;
1002_COU;1002_COU_1165;royal cassis;
1002_COU;1002_COU_1166;rouille terra;
1002_COU;1002_COU_1167;ice;
1002_COU;1002_COU_1168;cassis;
1002_COU;1002_COU_1169;grey/lime;
1002_COU;1002_COU_1170;royal gris;
1002_COU;1002_COU_1171;rouille lime;
1010_TAI;1010_TAI_4653;Diamètre 23 hauteur 20,5;
1002_COU;1002_COU_1172;bronze taupe;
1003_LIT;1003_LIT_247;0,5 litre;
1007_PUI;1007_PUI_91;3 V;
1002_COU;1002_COU_1173;blanc/gris;
1002_COU;1002_COU_1174;brun brush;
1002_COU;1002_COU_1175;ice brush;
1002_COU;1002_COU_1176;champagne /taupe;
1002_COU;1002_COU_1177;blanc/vert;
1002_COU;1002_COU_1178;blanc/terracotta;
1002_COU;1002_COU_1179;mocca/cafe;
1002_COU;1002_COU_1065;cerise/mordore;
1002_COU;1002_COU_1066;vanille/mordore;
1002_COU;1002_COU_1067;mordore/cerise;
1002_COU;1002_COU_1068;mordore/vanille;
1002_COU;1002_COU_1069;gris rose;
1002_COU;1002_COU_1070;bright violet;
1002_COU;1002_COU_1071;pure violet;
1002_COU;1002_COU_1072;bone white;
1002_COU;1002_COU_1073;pure green;
1002_COU;1002_COU_1074;graphite metallic;
1002_COU;1002_COU_1075;limbo;
1002_COU;1002_COU_1076;mi noir;
1002_COU;1002_COU_1077;3 couleurs;
1002_COU;1002_COU_1078;noir et blanc;
1002_COU;1002_COU_1079;gris alu;
1002_COU;1002_COU_1080;lavande violet;
1002_COU;1002_COU_1081;cool gris;
1002_COU;1002_COU_1082;lime vert;
1002_COU;1002_COU_1083;piment;
1002_COU;1002_COU_1084;coquelicot;
1002_COU;1002_COU_1085;metal;
1002_COU;1002_COU_1086;inox;
1002_COU;1002_COU_1087;ecume;
1002_COU;1002_COU_1088;safran;
1002_COU;1002_COU_1089;piment;
1002_COU;1002_COU_1090;poivron;
1002_COU;1002_COU_1091;jaspe;
1002_COU;1002_COU_1092;taupe;
1002_COU;1002_COU_1093;fusion;
1002_COU;1002_COU_1094;vegetal;
1002_COU;1002_COU_1095;soleil couchant;
1002_COU;1002_COU_1096;bois de rose;
1002_COU;1002_COU_1097;pourpre;
1002_COU;1002_COU_1098;douceur;
1002_COU;1002_COU_1099;esprit savane;
1002_COU;1002_COU_1100;caraibes;
1002_COU;1002_COU_1101;chlorophylle;
1002_COU;1002_COU_1102;japse;
1002_COU;1002_COU_1103;metal ;
1002_COU;1002_COU_1104;soleil jaspe;
1002_COU;1002_COU_1105;mt;
1002_COU;1002_COU_1106;archeos;
1002_COU;1002_COU_1107;savane;
1002_COU;1002_COU_1108;taupe/chocolat;
1002_COU;1002_COU_1109;brique/cerise;
1002_COU;1002_COU_1110;rouge/taupe;
1002_COU;1002_COU_1111;myrtille prune;
1002_COU;1002_COU_1112;aigue marine;
1002_COU;1002_COU_1113;les textures;
1002_COU;1002_COU_1114;bois de santal;
1002_COU;1002_COU_1115;terre d afrique;
1002_COU;1002_COU_1116;ciel de coton;
1002_COU;1002_COU_1117;terre de rose;
1002_COU;1002_COU_1118;dune de coton;
1002_COU;1002_COU_1119;terre de feu;
1002_COU;1002_COU_1120;terre d amazonie;
1002_COU;1002_COU_1121;terre d afrique;
1002_COU;1002_COU_1122;myrtille prune;
1002_COU;1002_COU_1123;terre de soleil;
1002_COU;1002_COU_1124;manganese;
1002_COU;1002_COU_1125;argente manganese;
1002_COU;1002_COU_1126;manganese anodises;
1002_COU;1002_COU_1127;blanc anodises;
1002_COU;1002_COU_1128;very berry;
1002_COU;1002_COU_1186;AZUL;
1002_COU;1002_COU_1187;POURPRE ET VERT;
1010_TAI;1010_TAI_4832;80X80X25CM;
1010_TAI;1010_TAI_4833;80X80X20CM;
1010_TAI;1010_TAI_4835;92X92CM;
1009_SAV;1009_SAV_430;SAUMON POTIRON;
1009_SAV;1009_SAV_427;POULET BLANCHE;
1004_MAT;1004_MAT_70;TIGE DE FOUGERE;
1009_SAV;1009_SAV_432;VIANDES POISSONS EN SAUCE;
1001_CONT;1001_CONT_33;0,9 litre;
1009_SAV;1009_SAV_435;AGNEAUX;
1009_SAV;1009_SAV_434;THONS;
1010_TAI;1010_TAI_4843;49X27X26.5;
1010_TAI;1010_TAI_4848;110 CM;
1009_SAV;1009_SAV_529;POULET-CAROTTE;
1010_TAI;1010_TAI_4817;5X100X250CM;
1010_TAI;1010_TAI_4816;180X200CM;
1010_TAI;1010_TAI_4814;90X200CM;
1003_LIT;1003_LIT_250;946ML;
1010_TAI;1010_TAI_4856;59cm;
1006_POI;1006_POI_285;3X2KG;
1009_SAV;1009_SAV_437;MORTADELLE;
1009_SAV;1009_SAV_439;SAUCISSE;
1002_COU;1002_COU_1190;VERT LIMON;
1010_TAI;1010_TAI_4845;60.5 CM;
1010_TAI;1010_TAI_4857;T6/8;
1010_TAI;1010_TAI_4875;4,5M;
1002_COU;1002_COU_1208;BLANC-COCCINELLE;
1006_POI;1006_POI_289;4KG DT 1KG;
1006_POI;1006_POI_286;7,5KG+2,5KG;
1010_TAI;1010_TAI_4851;13,5 CM;
1002_COU;1002_COU_1203;GRIS/FRAMBOISE;
1002_COU;1002_COU_1199;GRIS-CORAIL;
1008_QUA;1008_QUA_102;106 gr;
1010_TAI;1010_TAI_4886;300X300X200CM;
1010_TAI;1010_TAI_4887;300X120X200CM;
1010_TAI;1010_TAI_4883;2MX30M;
1010_TAI;1010_TAI_4880;60X45X30CM;
1002_COU;1002_COU_1185;BLANC BRILLANT;
1010_TAI;1010_TAI_4831;60X60X20CM;
1010_TAI;1010_TAI_4834;110X60X20CM;
1010_TAI;1010_TAI_4893;3,8 m²;
0207_DMMAF;0207_DMMAF_4010;16XG7;
1009_SAV;1009_SAV_431;POISSONS;
1002_COU;1002_COU_1191;DENIM;
1006_POI;1006_POI_283;3KG+500G;
1010_TAI;1010_TAI_4818;5X80X250CM;
1002_COU;1002_COU_1198;BLANC LAQUE;
1009_SAV;1009_SAV_438;JAMBON;
1010_TAI;1010_TAI_4850;20 MM;
1010_TAI;1010_TAI_4849;15 MM;
1010_TAI;1010_TAI_4858;T4/6;
1006_POI;1006_POI_288;2X2KG;
1002_COU;1002_COU_1204;GRIS/NOIR;
1002_COU;1002_COU_1206;VARIE;
1002_COU;1002_COU_1200;MARRON-JAUNE;
1010_TAI;1010_TAI_4852;S-50cm;
1010_TAI;1010_TAI_4853;M-60cm;
1003_LIT;1003_LIT_253;960ML;
1010_TAI;1010_TAI_4897;300X400X200CM;
1010_TAI;1010_TAI_4899;21M2;
1010_TAI;1010_TAI_4892;189X78X200;
1010_TAI;1010_TAI_4896;100X50X150;
1010_TAI;1010_TAI_4900;7.5M2;
1010_TAI;1010_TAI_4882;1.3MX4M;
1010_TAI;1010_TAI_4885;1.3MX8M;
1009_SAV;1009_SAV_443;POMMES;
1009_SAV;1009_SAV_444;CAROTTES;
1007_PUI;1007_PUI_266;11000L/H;
1007_PUI;1007_PUI_272;14000L/H;
1010_TAI;1010_TAI_4865;860L;
1007_PUI;1007_PUI_269;3500/H;
1007_PUI;1007_PUI_271;14500L/H;
1002_COU;1002_COU_1209;COEURS;
1002_COU;1002_COU_1202;UNION JACK;
1010_TAI;1010_TAI_4791;TAILLE 34;
1010_TAI;1010_TAI_4789;TAILLE 28;
1010_TAI;1010_TAI_4790;TAILLE 31;
1006_POI;1006_POI_307;8KG BOITE;
1006_POI;1006_POI_306;660G;
1010_TAI;1010_TAI_4827;1.2X30CM;
1010_TAI;1010_TAI_4924;4M88x1M22;
1003_LIT;1003_LIT_254;990ML;
1006_POI;1006_POI_297;920G;
1002_COU;1002_COU_1216;ELEPHANT;
1002_COU;1002_COU_1217;GIRAFE;
1002_COU;1002_COU_1218;TIGRE;
1010_TAI;1010_TAI_4929;D.8CM;
1005_PAR;1005_PAR_345;BOUQUET DES LANDES;
1007_PUI;1007_PUI_273;320L/H;
1008_QUA;1008_QUA_86;X6;
1008_QUA;1008_QUA_87;X4;
1006_POI;1006_POI_354;363G;
1010_TAI;1010_TAI_5270;30X65X65CM;
1010_TAI;1010_TAI_4922;2,13x2,13;
1003_LIT;1003_LIT_256;10 L;
1003_LIT;1003_LIT_258;30 L;
1003_LIT;1003_LIT_257;20 L;
1010_TAI;1010_TAI_4937;D28XH31CM;
1010_TAI;1010_TAI_4942;D23XH25,5CM;
1010_TAI;1010_TAI_4935;D17XH15CM;
1010_TAI;1010_TAI_4936;D22XH20CM;
1010_TAI;1010_TAI_4947;L.400MM;
1010_TAI;1010_TAI_4953;395MM;
0404_COPDT;0404_COPDT_77;Clayette germée dressée GM;
1010_TAI;1010_TAI_4956;D170 H170;
1002_COU;1002_COU_1234;MURE;
1005_PAR;1005_PAR_366;JASMIN YLANG;
1005_PAR;1005_PAR_353;FLEUR DE TIARE;
1005_PAR;1005_PAR_359;AMBRE SAFRAN;
1002_COU;1002_COU_1235;BLANC IVOIRE;
1005_PAR;1005_PAR_346;BERGAMOTE TONKA;
1005_PAR;1005_PAR_364;BAMBOU THE;
1005_PAR;1005_PAR_354;THE FIGUE;
1005_PAR;1005_PAR_349;ABRICOT ROMARIN;
1005_PAR;1005_PAR_355;FRAMBOISIER FLEUR;
1005_PAR;1005_PAR_358;CHEVREF. JARDINS;
1005_PAR;1005_PAR_361;MACARON FRAMBOISE;
1005_PAR;1005_PAR_350;JOLI COEUR;
1005_PAR;1005_PAR_363;PLUIE D'ÉTÉ;
1005_PAR;1005_PAR_365;YUZU & CLEMENTINE;
1005_PAR;1005_PAR_368;SONGE EXOTIQUE;
1005_PAR;1005_PAR_370;LOTUS MUSC BLANC;
1009_SAV;1009_SAV_447;POISSON/EPINARD;
1001_CONT;1001_CONT_47;400ML;
1002_COU;1002_COU_1236;ROUGE ET BLANC;
1002_COU;1002_COU_1237;BLEU ET BLANC;
1006_POI;1006_POI_309;11KG + 2.5KG;
1006_POI;1006_POI_308;11 KG;
1006_POI;1006_POI_310;2x800G;
1005_PAR;1005_PAR_378;BONBON;
1005_PAR;1005_PAR_379;LITCHI;
1005_PAR;1005_PAR_380;BISCUIT;
1002_COU;1002_COU_1245;AURORE;
1010_TAI;1010_TAI_4819;22X21XH39CM;
1010_TAI;1010_TAI_4821;21X20XH63CM;
1010_TAI;1010_TAI_4820;46X42XH43CM;
1010_TAI;1010_TAI_4823;63X61XH61CM;
1010_TAI;1010_TAI_4822;29X23XH37CM;
1002_COU;1002_COU_1238;BLANC ET BLEU;
1002_COU;1002_COU_1242;ROUGE ET VERT;
1002_COU;1002_COU_1239;JAUNE ORANGE;
1002_COU;1002_COU_1243;DOREE;
1002_COU;1002_COU_1240;RGB;
1002_COU;1002_COU_1244;ROUGE ORANGE;
